id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
7158	mdp.39015030740800	65	Coulette, Henri	Coulette, Henri 1927-1988	null	null	null	The war of the secret agents : and other poems / By Henri Coulette.	C. Scribner, [1966]	1966	nyu	[]	['291698']	['66013336']
7159	mdp.39015011044651	3372	Cooper, Jane	Cooper, Jane 1924-2007	null	null	null	Maps & windows; poems.	Macmillan [1974]	1974	nyu	['0020693001 (pbk.),0025280600']	['934802']	['74010975']
7160	mdp.39015011044669	3372	Cooper, Jane	Cooper, Jane 1924-2007	null	null	null	The weather of six mornings; poems.	Macmillan [1968, c1969]	1969	nyu	[]	['291701']	['68029507//r85']
7161	mdp.39015002244906	3205	Conroy, Frank	Conroy, Frank 1936-2005	null	null	null	Stop-time.	Viking Press [1967]	1967	nyu	[]	['671075']	['67025922']
7162	uc1.$b242695	3680	Marshall, Paule	Marshall, Paule 1929-	null	null	null	Soul clap hands and sing.	Atheneum, 1961.	1961	nyu	[]	['289810']	['61016515']
7163	mdp.39015054095792	3680	Marshall, Paule	Marshall, Paule 1929-	null	null	null	Brown girl, brownstones.	Random House [1959]	1959	nyu	[]	['1452730']	['59010804']
7164	mdp.39015032011564	3085	Leggett, John	Leggett, John 1917-	null	null	null	Ross and Tom; two American tragedies	Simon and Schuster [1974]	1974	nyu	['067121733X']	['985662']	['74000118']
7165	uc1.32106002177662	1539	Madhubuti, Haki R.	Madhubuti, Haki R. 1942-	null	null	null	Directionscore: selected and new poems [by] Don L. Lee.	Broadside Press [1971]	1971	miu	['0910296480']	['129471']	['76142060 //r74']
7166	mdp.39015005180149	3660	Cheever, John	Cheever, John.	null	null	null	The enormous radio, and other stories.	Funk & Wagnalls, 1953.	1953	nyu	[]	['282381']	['53006976/L']
7167	mdp.39015038922376	3660	Cheever, John	Cheever, John.	null	null	null	The brigadier and the golf widow.	Harper & Row [1964]	1964	nyu	[]	['214048820,282383']	['64020543']
7168	mdp.39015016445879	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	La vie passionn̩e of Rodney Buckthorne: a tale of the great American's last rally and curious death; a novel, by R.V. Cassill.	Bernard Geis Associates; distributed by Grove Press [1968]	1968	nyu	[]	['1445138']	['68016149']
7169	mdp.39015030728292	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	The president [by] R.V. Cassill.	Simon and Schuster, 1964.	1964	nyu	[]	['795430']	['64014427']
7170	mdp.39015030728557	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	Pretty Leslie / by R.V. Cassill.	Simon and Schuster, 1963.	1963	nyu	[]	['3429303']	['63009280/L']
7171	uc1.$b401412	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	In an iron time: statements and reiterations; essays by R. V. Cassill.	Purdue University Studies, 1969.	1969	inu	[]	['46376']	['69011273//r84']
7172	uc1.32106002096136	3660	Cheever, John	Cheever, John.	null	null	null	The world of apples.	Knopf, 1973.	1973	nyu	['9780394483467', '0394483464']	['570438']	['72011018']
7173	mdp.39015002304916	3660	Cheever, John	Cheever, John.	null	null	null	The Wapshot chronicle / John Cheever.	Harper and Brothers, 1957.	1957	nyu	[]	['282379']	['56011100/L']
7174	mdp.39015066052146	3660	Cheever, John	Cheever, John.	Gould, Peter K. former owner.	null	null	The way some people live : a book of stories / by John Cheever.	Random House, 1943.	1943	nyu	[]	['1491957']	['43005522']
