htid	title_id	title	author	year	first_week	debut_rank	best_rank
mdp.39015038921790	6259	THE SETTLERS	Meyer Levin	1972	1972-05-28	10	8
uc1.b3435226	6259	THE SETTLERS	Meyer Levin	1972	1972-05-28	10	8
uc1.b3835557	6260	THE SEVEN ISLANDS	Jon Godden	1956	1956-08-12	13	13
uc1.$b102651	6260	THE SEVEN ISLANDS	Jon Godden	1956	1956-08-12	13	13
mdp.39015003930446	6260	THE SEVEN ISLANDS	Jon Godden	1956	1956-08-12	13	13
uc1.$b146911	6261	THE SEVEN MINUTES	Irving Wallace	1969	1969-10-26	1	3
uc1.b4437848	6262	THE SEVEN WHO FLED	Frederic Prokosch	1937	1937-09-06	6	4
mdp.39015000606205	6262	THE SEVEN WHO FLED	Frederic Prokosch	1937	1937-09-06	6	4
mdp.39015000606213	6262	THE SEVEN WHO FLED	Frederic Prokosch	1937	1937-09-06	6	4
uc1.b4951348	6263	THE SEVEN-PER-CENT SOLUTION	edited by Nicholas Meyer	1974	1974-09-15	1	2
mdp.39015005738086	6263	THE SEVEN-PER-CENT SOLUTION	edited by Nicholas Meyer	1974	1974-09-15	1	2
mdp.39015050606766	6263	THE SEVEN-PER-CENT SOLUTION	edited by Nicholas Meyer	1974	1974-09-15	1	2
uc1.$b75082	6265	THE SEVENTH CROSS	Anna Seghers	1942	1942-10-05	3	3
mdp.39015003659441	6265	THE SEVENTH CROSS	Anna Seghers	1942	1942-10-05	3	3
mdp.39015066062632	6265	THE SEVENTH CROSS	Anna Seghers	1942	1942-10-05	3	3
uc1.b4885329	6265	THE SEVENTH CROSS	Anna Seghers	1942	1942-10-05	3	3
mdp.39015060399725	6269	THE SHADOW OF SAGANAMI	David Weber	2004	2004-11-14	4	16
uc1.$b399261	6275	THE SHADOWS OF THE IMAGES	William E. Barrett	1953	1953-11-22	16	10
mdp.39015003940858	6279	THE SHELTERED LIFE	Ellen Glasgow	1932	1932-09-05	2	1
mdp.39015038904838	6279	THE SHELTERED LIFE	Ellen Glasgow	1932	1932-09-05	2	1
uc1.32106007983064	6280	THE SHELTERING SKY	Paul Bowles	1950	1950-01-01	2	9
uc1.32106015265769	6280	THE SHELTERING SKY	Paul Bowles	1950	1950-01-01	2	9
